deal_id,date,year,deal_type,acquirer_or_investors,target_or_company,value_usd_bn,description,is_megadeal,is_real_headline
D0287,09-06-2015,2015,VC,Polaris Partners,Moduni OS,0.226,VC 2015,0,0
D0330,18-06-2015,2015,Series_B,Polaris Partners,Oncimm AB,0.134,Series_B 2015,0,0
D0337,20-06-2015,2015,VC,F-Prime Capital,Epihap AB,0.073,VC 2015,0,0
D0280,23-06-2015,2015,VC,F-Prime Capital,Synonc OS,0.522,VC 2015,0,0
D0311,23-06-2015,2015,VC,ARCH Venture Partners,Lumkym BIO,0.057,VC 2015,0,0
D0296,16-07-2015,2015,Series_C,ARCH Venture Partners,Unijas Tx,0.804,Series_C 2015,0,0
D0291,09-08-2015,2015,Series_C,Versant Ventures,Synepi Therapeutics,0.055,Series_C 2015,0,0
D0305,18-08-2015,2015,VC,F-Prime Capital,Genkym IO,0.125,VC 2015,0,0
D0333,19-08-2015,2015,M&A,Merck,Hapquo RX,0.556,M&A 2015,0,0
D0282,22-08-2015,2015,Series_B,Sofinnova Investments,Celjas Tx,1.142,Series_B 2015,0,0
D0314,26-08-2015,2015,VC,RA Capital,Jasepi ON,0.227,VC 2015,0,0
D0313,02-09-2015,2015,VC,Polaris Partners,Kympro GX,0.143,VC 2015,0,0
D0312,02-09-2015,2015,Series_B,Third Rock Ventures,Oncgen GX,0.136,Series_B 2015,0,0
D0331,09-09-2015,2015,Series_B,OrbiMed,Tavlum RX,0.143,Series_B 2015,0,0
D0306,14-09-2015,2015,IPO,Public markets,Aerhap IO,0.51,IPO 2015,0,0
D0320,19-09-2015,2015,VC,Sofinnova Investments,Biovec Tx,0.041,VC 2015,0,0
D0301,21-09-2015,2015,VC,Third Rock Ventures,Onconc Therapeutics,0.012,VC 2015,0,0
D0332,24-09-2015,2015,VC,Sofinnova Investments,Aergen Therapeutics,0.128,VC 2015,0,0
D0290,24-09-2015,2015,Series_B,F-Prime Capital,Repmod OS,0.143,Series_B 2015,0,0
D0273,02-10-2015,2015,M&A,Roche,Celquo BIO,10.045,M&A 2015,1,0
D0303,04-10-2015,2015,M&A,Roche,Denquo Tx,20.382,M&A 2015,1,0
D0298,05-10-2015,2015,M&A,Eli Lilly,Univec Tx,1.058,M&A 2015,0,0
D0336,05-10-2015,2015,Series_C,Third Rock Ventures,Denepi X,1.119,Series_C 2015,0,0
D0286,16-10-2015,2015,VC,RA Capital,Hapyot RX,0.19,VC 2015,0,0
D0342,22-10-2015,2015,Series_C,ARCH Venture Partners,Jasgen BIO,0.061,Series_C 2015,0,0
D0288,25-10-2015,2015,Series_C,Polaris Partners,Immvec IO,0.12,Series_C 2015,0,0
D0318,07-11-2015,2015,Series_B,OrbiMed,Neumod ON,0.013,Series_B 2015,0,0
D0341,08-11-2015,2015,Series_B,Flagship Pioneering,Neuzeo Tx,0.778,Series_B 2015,0,0
D0329,12-11-2015,2015,Series_B,Third Rock Ventures,Neuonc ON,0.135,Series_B 2015,0,0
D0281,13-11-2015,2015,VC,Versant Ventures,Immyot BIO,0.056,VC 2015,0,0
D0334,22-11-2015,2015,VC,RA Capital,Xenbio Therapeutics,0.051,VC 2015,0,0
D0325,26-11-2015,2015,VC,RA Capital,Prohap X,0.117,VC 2015,0,0
D0307,07-12-2015,2015,IPO,Public markets,Uniepi BIO,2.279,IPO 2015,0,0
D0321,08-12-2015,2015,VC,Flagship Pioneering,Genimm IO,0.071,VC 2015,0,0
D0326,11-12-2015,2015,M&A,Novartis,Genzeo RX,0.571,M&A 2015,0,0
D0297,24-12-2015,2015,VC,RA Capital,Zeorep GX,0.298,VC 2015,0,0
D0383,03-01-2016,2016,Series_B,ARCH Venture Partners,Projas AB,0.454,Series_B 2016,0,0
D0356,05-01-2016,2016,M&A,Roche,Syncel X,3.049,M&A 2016,0,0
D0353,07-01-2016,2016,VC,Third Rock Ventures,Onconc X,0.119,VC 2016,0,0
D0372,22-01-2016,2016,Series_B,Bain Capital Life Sciences,Yotsyn Tx,0.263,Series_B 2016,0,0
D0005,26-01-2016,2016,M&A,Shire,Baxalta,32,Rare disease deal,1,1
D0370,01-02-2016,2016,Series_B,Versant Ventures,Oncgen X,0.404,Series_B 2016,0,0
D0368,02-02-2016,2016,Series_B,Bain Capital Life Sciences,Jassyn IO,0.273,Series_B 2016,0,0
D0385,09-02-2016,2016,Series_B,ARCH Venture Partners,Immmod AB,0.031,Series_B 2016,0,0
D0343,13-02-2016,2016,VC,Bain Capital Life Sciences,Modkym Therapeutics,0.086,VC 2016,0,0
D0364,18-02-2016,2016,VC,RA Capital,Veconc AB,0.373,VC 2016,0,0
D0363,19-02-2016,2016,VC,Versant Ventures,Oncpro ON,0.409,VC 2016,0,0
D0346,19-02-2016,2016,Series_B,Flagship Pioneering,Gengen RX,0.805,Series_B 2016,0,0
D0403,22-02-2016,2016,M&A,AbbVie,Hapneu ON,0.154,M&A 2016,0,0
D0354,02-03-2016,2016,M&A,Gilead,Zeoneu GX,0.794,M&A 2016,0,0
D0380,05-03-2016,2016,VC,Third Rock Ventures,Quopro Tx,0.166,VC 2016,0,0
D0369,08-03-2016,2016,IPO,Public markets,Denepi AB,0.123,IPO 2016,0,0
D0365,09-03-2016,2016,Series_B,Bain Capital Life Sciences,Unizeo Therapeutics,0.122,Series_B 2016,0,0
D0345,15-03-2016,2016,VC,ARCH Venture Partners,Denzeo AB,0.024,VC 2016,0,0
D0381,15-03-2016,2016,M&A,Gilead,Unilum ON,2.798,M&A 2016,0,0
D0379,23-03-2016,2016,VC,Flagship Pioneering,Bioden ON,0.148,VC 2016,0,0
D0384,25-03-2016,2016,Series_B,Atlas Venture,Xenxen IO,0.279,Series_B 2016,0,0
D0360,04-04-2016,2016,VC,Sofinnova Investments,Quoimm Tx,0.05,VC 2016,0,0
D0402,13-04-2016,2016,VC,Polaris Partners,Repepi ON,0.696,VC 2016,0,0
D0366,16-04-2016,2016,VC,Atlas Venture,Prorep OS,0.075,VC 2016,0,0
D0391,18-04-2016,2016,Series_B,a16z Bio,Unijas GX,0.282,Series_B 2016,0,0
D0351,27-04-2016,2016,VC,Atlas Venture,Zeohap IO,0.304,VC 2016,0,0
D0400,01-05-2016,2016,VC,Sofinnova Investments,Hapquo BIO,0.648,VC 2016,0,0
D0376,08-05-2016,2016,VC,ARCH Venture Partners,Xenhap ON,0.173,VC 2016,0,0
D0375,25-05-2016,2016,VC,GV (Google Ventures),Modkym Therapeutics,0.115,VC 2016,0,0
D0392,08-06-2016,2016,Crossover,ARCH Venture Partners,Celxen Therapeutics,0.248,Crossover 2016,0,0
D0371,14-06-2016,2016,VC,Polaris Partners,Synbio X,0.126,VC 2016,0,0
D0388,09-07-2016,2016,VC,Sofinnova Investments,Zeovec AB,0.541,VC 2016,0,0
D0349,13-07-2016,2016,VC,GV (Google Ventures),Immcel Therapeutics,0.046,VC 2016,0,0
D0401,14-07-2016,2016,VC,Flagship Pioneering,Biobio GX,0.253,VC 2016,0,0
D0399,16-07-2016,2016,Series_B,F-Prime Capital,Neusyn AB,0.529,Series_B 2016,0,0
D0406,18-07-2016,2016,VC,F-Prime Capital,Repzeo X,0.033,VC 2016,0,0
D0390,21-07-2016,2016,VC,Third Rock Ventures,Lumcel ON,0.5,VC 2016,0,0
D0367,21-07-2016,2016,VC,Sofinnova Investments,Denjas AB,0.062,VC 2016,0,0
D0373,06-08-2016,2016,VC,ARCH Venture Partners,Neumod Therapeutics,0.054,VC 2016,0,0
D0382,09-08-2016,2016,VC,a16z Bio,Prozeo ON,0.06,VC 2016,0,0
D0407,16-08-2016,2016,IPO,Public markets,Vecneu Therapeutics,1.467,IPO 2016,0,0
D0396,19-08-2016,2016,Series_B,Polaris Partners,Provec RX,0.129,Series_B 2016,0,0
D0348,22-08-2016,2016,VC,Sofinnova Investments,Immkym BIO,0.027,VC 2016,0,0
D0389,05-09-2016,2016,VC,ARCH Venture Partners,Onckym OS,0.064,VC 2016,0,0
D0386,05-09-2016,2016,M&A,Sanofi,Kymaer Therapeutics,0.176,M&A 2016,0,0
D0377,06-09-2016,2016,Series_C,RA Capital,Jaspro AB,0.075,Series_C 2016,0,0
D0359,07-09-2016,2016,Series_B,Sofinnova Investments,Vecimm GX,0.295,Series_B 2016,0,0
D0361,08-09-2016,2016,Crossover,OrbiMed,Genjas GX,0.21,Crossover 2016,0,0
D0350,08-09-2016,2016,VC,Versant Ventures,Zeoyot Tx,0.074,VC 2016,0,0
D0347,15-09-2016,2016,Series_B,Polaris Partners,Celhap AB,0.111,Series_B 2016,0,0
D0405,18-09-2016,2016,VC,Third Rock Ventures,Jasbio RX,0.079,VC 2016,0,0
D0404,22-09-2016,2016,M&A,J&J,Oncimm IO,1.549,M&A 2016,0,0
D0344,25-09-2016,2016,Series_B,ARCH Venture Partners,Bioxen RX,0.107,Series_B 2016,0,0
D0398,26-09-2016,2016,VC,a16z Bio,Prolum Therapeutics,0.21,VC 2016,0,0
D0357,11-10-2016,2016,VC,Bain Capital Life Sciences,Reptav OS,0.417,VC 2016,0,0
D0387,05-11-2016,2016,Series_B,Versant Ventures,Repepi ON,0.087,Series_B 2016,0,0
D0378,13-11-2016,2016,Series_B,GV (Google Ventures),Tavgen X,0.335,Series_B 2016,0,0
D0352,13-11-2016,2016,VC,Third Rock Ventures,Aergen Therapeutics,0.076,VC 2016,0,0
D0393,21-11-2016,2016,VC,GV (Google Ventures),Aerbio GX,0.171,VC 2016,0,0
D0395,22-11-2016,2016,VC,Bain Capital Life Sciences,Jasyot BIO,0.266,VC 2016,0,0
D0358,23-11-2016,2016,IPO,Public markets,Bioxen X,0.211,IPO 2016,0,0
D0362,23-11-2016,2016,VC,Atlas Venture,Aeruni RX,0.203,VC 2016,0,0
D0394,26-11-2016,2016,VC,Third Rock Ventures,Genkym GX,0.139,VC 2016,0,0
D0355,03-12-2016,2016,IPO,Public markets,Lumrep OS,0.124,IPO 2016,0,0
D0374,17-12-2016,2016,VC,ARCH Venture Partners,Replum OS,0.429,VC 2016,0,0
D0397,19-12-2016,2016,M&A,Novartis,Genepi X,0.023,M&A 2016,0,0
D0481,02-01-2017,2017,VC,Third Rock Ventures,Celrep Therapeutics,0.077,VC 2017,0,0
D0442,07-01-2017,2017,M&A,Gilead,Oncaer OS,1.247,M&A 2017,0,0
D0415,13-01-2017,2017,VC,Sofinnova Investments,Haptav AB,0.134,VC 2017,0,0
D0454,22-01-2017,2017,VC,GV (Google Ventures),Tavyot ON,0.13,VC 2017,0,0
D0441,25-01-2017,2017,VC,Third Rock Ventures,Hapvec ON,0.375,VC 2017,0,0
D0409,25-01-2017,2017,Series_B,Versant Ventures,Tavepi ON,0.043,Series_B 2017,0,0
D0453,16-02-2017,2017,VC,F-Prime Capital,Zeopro X,0.05,VC 2017,0,0
D0451,21-02-2017,2017,VC,Flagship Pioneering,Proquo AB,0.11,VC 2017,0,0
D0466,21-02-2017,2017,Series_B,RA Capital,Epibio X,0.067,Series_B 2017,0,0
D0471,25-02-2017,2017,VC,GV (Google Ventures),Celhap RX,0.053,VC 2017,0,0
D0461,25-02-2017,2017,VC,F-Prime Capital,Celrep RX,0.018,VC 2017,0,0
D0478,06-03-2017,2017,Series_C,Polaris Partners,Denquo OS,0.306,Series_C 2017,0,0
D0408,08-03-2017,2017,VC,Versant Ventures,Denneu RX,0.095,VC 2017,0,0
D0474,09-03-2017,2017,VC,Flagship Pioneering,Oncxen BIO,0.082,VC 2017,0,0
D0477,12-03-2017,2017,M&A,J&J,Reponc RX,0.241,M&A 2017,0,0
D0410,24-03-2017,2017,Series_C,Atlas Venture,Immimm GX,0.252,Series_C 2017,0,0
D0420,25-03-2017,2017,Series_B,OrbiMed,Vecquo OS,0.092,Series_B 2017,0,0
D0475,05-04-2017,2017,IPO,Public markets,Aerhap BIO,0.457,IPO 2017,0,0
D0428,07-04-2017,2017,Crossover,a16z Bio,Quolum RX,0.178,Crossover 2017,0,0
D0424,07-04-2017,2017,VC,Bain Capital Life Sciences,Replum X,0.197,VC 2017,0,0
D0479,12-04-2017,2017,Series_B,ARCH Venture Partners,Quopro RX,0.881,Series_B 2017,0,0
D0467,14-04-2017,2017,VC,GV (Google Ventures),Vecaer Therapeutics,0.058,VC 2017,0,0
D0470,26-04-2017,2017,VC,OrbiMed,Genvec ON,0.51,VC 2017,0,0
D0417,26-04-2017,2017,M&A,Pfizer,Epitav Tx,0.023,M&A 2017,0,0
D0445,24-05-2017,2017,Series_C,Sofinnova Investments,Kymuni RX,0.076,Series_C 2017,0,0
D0446,02-06-2017,2017,Series_B,Flagship Pioneering,Xenquo BIO,0.139,Series_B 2017,0,0
D0414,04-06-2017,2017,VC,Polaris Partners,Lumjas IO,0.077,VC 2017,0,0
D0437,04-06-2017,2017,IPO,Public markets,Neuonc OS,0.322,IPO 2017,0,0
D0473,05-06-2017,2017,M&A,Sanofi,Biovec Therapeutics,14.703,M&A 2017,1,0
D0469,12-06-2017,2017,Series_C,Sofinnova Investments,Haponc RX,0.157,Series_C 2017,0,0
D0482,14-06-2017,2017,M&A,Sanofi,Aerxen AB,0.123,M&A 2017,0,0
D0430,17-06-2017,2017,Series_C,Third Rock Ventures,Denvec Therapeutics,0.093,Series_C 2017,0,0
D0452,17-06-2017,2017,IPO,Public markets,Kymsyn Tx,0.352,IPO 2017,0,0
D0440,24-06-2017,2017,IPO,Public markets,Quozeo GX,0.563,IPO 2017,0,0
D0438,02-07-2017,2017,Series_B,Atlas Venture,Immhap Therapeutics,0.092,Series_B 2017,0,0
D0434,04-07-2017,2017,IPO,Public markets,Xenneu RX,0.773,IPO 2017,0,0
D0421,07-07-2017,2017,VC,Flagship Pioneering,Modaer IO,0.052,VC 2017,0,0
D0433,19-07-2017,2017,Series_B,F-Prime Capital,Jasxen Therapeutics,0.062,Series_B 2017,0,0
D0464,19-07-2017,2017,M&A,Sanofi,Celsyn Therapeutics,3.56,M&A 2017,0,0
D0443,01-08-2017,2017,VC,RA Capital,Synaer AB,0.049,VC 2017,0,0
D0449,02-08-2017,2017,VC,Third Rock Ventures,Zeocel IO,0.606,VC 2017,0,0
D0426,03-08-2017,2017,Series_C,ARCH Venture Partners,Uniimm OS,0.237,Series_C 2017,0,0
D0419,05-08-2017,2017,Series_B,Flagship Pioneering,Onczeo AB,0.445,Series_B 2017,0,0
D0460,05-08-2017,2017,IPO,Public markets,Celrep AB,0.681,IPO 2017,0,0
D0439,11-08-2017,2017,M&A,Gilead,Haplum X,2.028,M&A 2017,0,0
D0416,16-08-2017,2017,M&A,Roche,Provec Tx,1.401,M&A 2017,0,0
D0447,16-08-2017,2017,IPO,Public markets,Xensyn Tx,0.942,IPO 2017,0,0
D0472,17-08-2017,2017,Series_C,Bain Capital Life Sciences,Replum AB,0.319,Series_C 2017,0,0
D0411,08-09-2017,2017,M&A,Pfizer,Tavpro BIO,22.064,M&A 2017,1,0
D0436,08-09-2017,2017,VC,RA Capital,Epitav ON,0.056,VC 2017,0,0
D0412,14-09-2017,2017,M&A,AstraZeneca,Jasden IO,2.575,M&A 2017,0,0
D0418,15-09-2017,2017,Crossover,F-Prime Capital,Jasxen OS,0.075,Crossover 2017,0,0
D0476,21-09-2017,2017,VC,Atlas Venture,Unihap IO,0.117,VC 2017,0,0
D0468,23-09-2017,2017,VC,a16z Bio,Denepi AB,0.073,VC 2017,0,0
D0422,23-09-2017,2017,M&A,J&J,Neuaer X,5.508,M&A 2017,0,0
D0455,25-09-2017,2017,M&A,Sanofi,Hapcel GX,3.746,M&A 2017,0,0
D0429,27-09-2017,2017,VC,Versant Ventures,Celuni X,0.018,VC 2017,0,0
D0423,06-10-2017,2017,VC,ARCH Venture Partners,Uniimm Tx,0.052,VC 2017,0,0
D0431,10-10-2017,2017,VC,Bain Capital Life Sciences,Neuquo ON,0.056,VC 2017,0,0
D0450,12-10-2017,2017,IPO,Public markets,Moduni BIO,0.29,IPO 2017,0,0
D0425,19-10-2017,2017,Series_B,Sofinnova Investments,Oncaer AB,0.178,Series_B 2017,0,0
D0448,19-10-2017,2017,VC,F-Prime Capital,Jasepi Therapeutics,0.076,VC 2017,0,0
D0427,21-10-2017,2017,VC,Third Rock Ventures,Biozeo GX,0.428,VC 2017,0,0
D0435,25-10-2017,2017,VC,Versant Ventures,Jasneu X,0.255,VC 2017,0,0
D0465,03-11-2017,2017,VC,Bain Capital Life Sciences,Jaspro RX,0.124,VC 2017,0,0
D0413,20-11-2017,2017,Series_C,GV (Google Ventures),Biogen X,0.284,Series_C 2017,0,0
D0462,27-11-2017,2017,Series_B,Bain Capital Life Sciences,Zeoyot RX,0.186,Series_B 2017,0,0
D0459,01-12-2017,2017,Series_C,OrbiMed,Veczeo Therapeutics,0.199,Series_C 2017,0,0
D0456,02-12-2017,2017,VC,OrbiMed,Aerzeo IO,0.21,VC 2017,0,0
D0432,05-12-2017,2017,IPO,Public markets,Zeoaer ON,0.327,IPO 2017,0,0
D0458,08-12-2017,2017,Series_B,Sofinnova Investments,Celrep AB,0.049,Series_B 2017,0,0
D0444,10-12-2017,2017,IPO,Public markets,Immaer BIO,0.196,IPO 2017,0,0
D0480,18-12-2017,2017,Series_B,OrbiMed,Unigen OS,0.097,Series_B 2017,0,0
D0457,19-12-2017,2017,VC,OrbiMed,Onclum GX,0.039,VC 2017,0,0
D0463,22-12-2017,2017,VC,Sofinnova Investments,Hapjas Tx,0.198,VC 2017,0,0
D0564,01-01-2018,2018,Crossover,OrbiMed,Xenvec X,0.025,Crossover 2018,0,0
D0517,06-01-2018,2018,VC,GV (Google Ventures),Genneu ON,0.479,VC 2018,0,0
D0508,10-01-2018,2018,M&A,J&J,Denden RX,1.805,M&A 2018,0,0
D0551,14-01-2018,2018,Series_B,Bain Capital Life Sciences,Biokym X,0.67,Series_B 2018,0,0
D0522,16-01-2018,2018,VC,Polaris Partners,Xensyn ON,0.41,VC 2018,0,0
D0006,22-01-2018,2018,M&A,Celgene,Juno Therapeutics,9,CAR-T acquisition,0,1
D0483,22-01-2018,2018,VC,Bain Capital Life Sciences,Genrep AB,0.389,VC 2018,0,0
D0485,23-01-2018,2018,VC,Polaris Partners,Jascel AB,0.068,VC 2018,0,0
D0504,24-01-2018,2018,Series_B,OrbiMed,Immrep X,0.067,Series_B 2018,0,0
D0015,25-01-2018,2018,IPO,Public markets,ARMO BioSciences,0.13,Cancer immunotherapy IPO,0,1
D0526,26-01-2018,2018,Series_B,Bain Capital Life Sciences,Synonc AB,0.632,Series_B 2018,0,0
D0553,02-02-2018,2018,M&A,Sanofi,Epiden ON,1.207,M&A 2018,0,0
D0554,02-02-2018,2018,M&A,Novartis,Tavtav Tx,0.757,M&A 2018,0,0
D0565,03-02-2018,2018,VC,Polaris Partners,Projas ON,0.443,VC 2018,0,0
D0556,07-02-2018,2018,Series_B,RA Capital,Celaer AB,0.332,Series_B 2018,0,0
D0016,08-02-2018,2018,IPO,Public markets,Solid Biosciences,0.15,DMD gene therapy,0,1
D0505,18-02-2018,2018,VC,Bain Capital Life Sciences,Zeoaer ON,0.135,VC 2018,0,0
D0484,19-02-2018,2018,VC,Atlas Venture,Genonc Therapeutics,0.299,VC 2018,0,0
D0488,21-02-2018,2018,Crossover,ARCH Venture Partners,Modgen Therapeutics,0.068,Crossover 2018,0,0
D0490,02-03-2018,2018,VC,RA Capital,Vecrep RX,0.143,VC 2018,0,0
D0558,10-03-2018,2018,VC,Third Rock Ventures,Hapbio Tx,0.249,VC 2018,0,0
D0520,12-03-2018,2018,VC,Third Rock Ventures,Modbio AB,0.064,VC 2018,0,0
D0538,21-03-2018,2018,IPO,Public markets,Repaer ON,0.981,IPO 2018,0,0
D0540,03-04-2018,2018,Series_C,ARCH Venture Partners,Bioonc Therapeutics,0.039,Series_C 2018,0,0
D0503,03-04-2018,2018,VC,a16z Bio,Repjas RX,0.054,VC 2018,0,0
D0519,03-04-2018,2018,Series_C,Sofinnova Investments,Quoepi X,0.026,Series_C 2018,0,0
D0494,03-04-2018,2018,Series_C,Atlas Venture,Immimm BIO,0.254,Series_C 2018,0,0
D0502,04-04-2018,2018,IPO,Public markets,Repuni AB,0.303,IPO 2018,0,0
D0496,06-04-2018,2018,M&A,Eli Lilly,Genimm ON,0.973,M&A 2018,0,0
D0501,14-04-2018,2018,VC,a16z Bio,Genlum ON,0.101,VC 2018,0,0
D0562,01-05-2018,2018,VC,Atlas Venture,Unixen Therapeutics,0.1,VC 2018,0,0
D0543,04-05-2018,2018,VC,Third Rock Ventures,Repden X,0.047,VC 2018,0,0
D0537,11-05-2018,2018,VC,RA Capital,Aeruni Therapeutics,0.12,VC 2018,0,0
D0514,19-05-2018,2018,IPO,Public markets,Epibio Tx,1.268,IPO 2018,0,0
D0548,19-05-2018,2018,Series_B,Flagship Pioneering,Biokym RX,0.491,Series_B 2018,0,0
D0500,19-05-2018,2018,Series_C,OrbiMed,Genuni AB,0.205,Series_C 2018,0,0
D0552,20-05-2018,2018,Series_B,F-Prime Capital,Zeopro ON,0.032,Series_B 2018,0,0
D0535,23-05-2018,2018,IPO,Public markets,Zeoyot X,0.05,IPO 2018,0,0
D0510,26-05-2018,2018,VC,a16z Bio,Epibio Therapeutics,0.08,VC 2018,0,0
D0544,27-05-2018,2018,Series_B,F-Prime Capital,Modsyn BIO,0.093,Series_B 2018,0,0
D0547,21-06-2018,2018,VC,Polaris Partners,Gengen Therapeutics,0.082,VC 2018,0,0
D0561,25-06-2018,2018,VC,OrbiMed,Repneu IO,0.11,VC 2018,0,0
D0495,01-07-2018,2018,Crossover,a16z Bio,Tavepi X,0.034,Crossover 2018,0,0
D0527,04-07-2018,2018,VC,Atlas Venture,Modgen GX,0.055,VC 2018,0,0
D0539,04-07-2018,2018,M&A,Sanofi,Unikym Tx,0.087,M&A 2018,0,0
D0507,11-07-2018,2018,Crossover,Versant Ventures,Modbio AB,0.024,Crossover 2018,0,0
D0530,14-07-2018,2018,VC,Flagship Pioneering,Tavquo Tx,0.482,VC 2018,0,0
D0546,15-07-2018,2018,VC,OrbiMed,Zeoquo GX,0.171,VC 2018,0,0
D0528,17-07-2018,2018,Series_B,OrbiMed,Immneu GX,0.032,Series_B 2018,0,0
D0532,18-07-2018,2018,Series_B,RA Capital,Xenlum ON,0.065,Series_B 2018,0,0
D0536,19-07-2018,2018,Series_C,Sofinnova Investments,Modhap BIO,0.124,Series_C 2018,0,0
D0489,23-07-2018,2018,VC,GV (Google Ventures),Prosyn ON,0.26,VC 2018,0,0
D0560,27-07-2018,2018,VC,Sofinnova Investments,Jasxen OS,0.047,VC 2018,0,0
D0493,02-08-2018,2018,Series_C,RA Capital,Xencel BIO,0.068,Series_C 2018,0,0
D0557,11-08-2018,2018,IPO,Public markets,Aerpro Therapeutics,0.253,IPO 2018,0,0
D0563,12-08-2018,2018,Series_B,Third Rock Ventures,Lumimm AB,0.186,Series_B 2018,0,0
D0566,17-08-2018,2018,Series_B,RA Capital,Biomod Therapeutics,0.097,Series_B 2018,0,0
D0525,18-08-2018,2018,Series_C,F-Prime Capital,Denhap RX,0.229,Series_C 2018,0,0
D0486,18-08-2018,2018,M&A,Sanofi,Yotjas OS,0.251,M&A 2018,0,0
D0492,19-08-2018,2018,Crossover,Bain Capital Life Sciences,Genzeo BIO,0.085,Crossover 2018,0,0
D0559,20-08-2018,2018,IPO,Public markets,Genjas AB,0.398,IPO 2018,0,0
D0521,20-08-2018,2018,VC,F-Prime Capital,Zeouni BIO,0.072,VC 2018,0,0
D0531,22-08-2018,2018,M&A,GSK,Tavgen AB,4.544,M&A 2018,0,0
D0509,24-08-2018,2018,Series_C,Flagship Pioneering,Neuyot BIO,0.342,Series_C 2018,0,0
D0542,27-08-2018,2018,Crossover,Polaris Partners,Quoepi OS,0.166,Crossover 2018,0,0
D0523,04-09-2018,2018,VC,Third Rock Ventures,Oncyot X,0.061,VC 2018,0,0
D0515,06-09-2018,2018,VC,Sofinnova Investments,Oncjas AB,0.233,VC 2018,0,0
D0491,10-09-2018,2018,VC,Bain Capital Life Sciences,Immyot OS,0.608,VC 2018,0,0
D0513,11-09-2018,2018,IPO,Public markets,Provec Tx,0.241,IPO 2018,0,0
D0524,13-09-2018,2018,VC,RA Capital,Jasden GX,0.212,VC 2018,0,0
D0487,15-09-2018,2018,Series_B,Polaris Partners,Tavgen Therapeutics,1.121,Series_B 2018,0,0
D0498,17-09-2018,2018,Crossover,Polaris Partners,Lumsyn GX,0.24,Crossover 2018,0,0
D0545,19-09-2018,2018,IPO,Public markets,Immbio AB,0.317,IPO 2018,0,0
D0555,26-09-2018,2018,VC,OrbiMed,Denneu AB,0.103,VC 2018,0,0
D0499,24-10-2018,2018,M&A,GSK,Synpro IO,0.409,M&A 2018,0,0
D0506,01-11-2018,2018,Series_C,a16z Bio,Kymonc X,0.265,Series_C 2018,0,0
D0512,06-11-2018,2018,M&A,Amgen,Xenden AB,7.994,M&A 2018,0,0
D0497,17-11-2018,2018,Series_B,F-Prime Capital,Quozeo GX,0.066,Series_B 2018,0,0
D0534,18-11-2018,2018,IPO,Public markets,Epipro X,1.551,IPO 2018,0,0
D0549,23-11-2018,2018,M&A,J&J,Yotzeo OS,0.033,M&A 2018,0,0
D0511,26-11-2018,2018,Series_B,Third Rock Ventures,Yotmod X,0.15,Series_B 2018,0,0
D0567,01-12-2018,2018,VC,a16z Bio,Veconc AB,0.126,VC 2018,0,0
D0516,06-12-2018,2018,Crossover,Sofinnova Investments,Genzeo X,0.623,Crossover 2018,0,0
D0541,08-12-2018,2018,Series_B,Bain Capital Life Sciences,Unibio Tx,0.072,Series_B 2018,0,0
D0529,11-12-2018,2018,M&A,AstraZeneca,Repsyn Therapeutics,1.653,M&A 2018,0,0
D0518,11-12-2018,2018,IPO,Public markets,Biouni RX,0.668,IPO 2018,0,0
D0533,11-12-2018,2018,VC,Sofinnova Investments,Yotden Therapeutics,0.225,VC 2018,0,0
D0550,23-12-2018,2018,Series_B,GV (Google Ventures),Synzeo IO,0.263,Series_B 2018,0,0
D0594,02-01-2019,2019,M&A,Pfizer,Yotuni IO,2.745,M&A 2019,0,0
D0007,03-01-2019,2019,M&A,BMS,Celgene,74,Largest pharma M&A 2019,1,1
D0600,05-01-2019,2019,VC,GV (Google Ventures),Zeoneu AB,0.226,VC 2019,0,0
D0626,08-01-2019,2019,M&A,J&J,Denrep BIO,0.254,M&A 2019,0,0
D0604,09-01-2019,2019,Series_C,F-Prime Capital,Celuni IO,0.116,Series_C 2019,0,0
D0602,17-01-2019,2019,Series_B,Third Rock Ventures,Modden X,0.187,Series_B 2019,0,0
D0593,19-01-2019,2019,M&A,Sanofi,Veccel BIO,0.736,M&A 2019,0,0
D0574,01-02-2019,2019,Series_B,Polaris Partners,Unirep Therapeutics,0.055,Series_B 2019,0,0
D0616,07-02-2019,2019,IPO,Public markets,Lumgen IO,0.151,IPO 2019,0,0
D0623,07-02-2019,2019,M&A,AstraZeneca,Celuni Tx,0.843,M&A 2019,0,0
D0617,19-02-2019,2019,M&A,AbbVie,Repyot OS,0.186,M&A 2019,0,0
D0621,19-03-2019,2019,Series_B,RA Capital,Modsyn GX,0.448,Series_B 2019,0,0
D0585,27-03-2019,2019,Series_C,RA Capital,Zeoonc GX,0.021,Series_C 2019,0,0
D0614,01-04-2019,2019,VC,OrbiMed,Aerquo ON,0.095,VC 2019,0,0
D0635,18-04-2019,2019,IPO,Public markets,Proyot Therapeutics,0.434,IPO 2019,0,0
D0613,01-05-2019,2019,Series_B,GV (Google Ventures),Oncgen ON,0.1,Series_B 2019,0,0
D0624,02-05-2019,2019,VC,Sofinnova Investments,Denpro GX,0.096,VC 2019,0,0
D0611,08-05-2019,2019,M&A,Eli Lilly,Immpro ON,1.47,M&A 2019,0,0
D0578,08-05-2019,2019,Series_B,Versant Ventures,Epiyot IO,0.017,Series_B 2019,0,0
